ID;Name;Table;Description;DataType;Expression;FormatString;IsHidden;State;KPIID;IsSimpleMeasure;DisplayFolder;DetailRowsDefinition;DataCategory;FormatStringDefinition;LineageTag
729646;"TRIAGES_2024";"OPORTUNIDAD_TRIAGE";"";"Integer";"
CALCULATE(
    COUNT(OPORTUNIDAD_TRIAGE[OID_TRIAGE]),
    YEAR(OPORTUNIDAD_TRIAGE[FECHA]) = 2024
    )
";"";False;"Valid";;False;"";"";"";"""0""";"9bc4cbc2-c3f1-4c08-8d71-21a30cabe426"
730194;"TRIAGES_2023";"OPORTUNIDAD_TRIAGE";"";"Integer";"
CALCULATE(
    COUNT(OPORTUNIDAD_TRIAGE[OID_TRIAGE]),
    YEAR(OPORTUNIDAD_TRIAGE[FECHA]) = 2023
    )";"";False;"Valid";;False;"";"";"";"""0""";"3f737540-90cf-447e-b6fe-2563be25a261"
746066;"PROMEDIO_TRIAGE_2024";"OPORTUNIDAD_TRIAGE";"";"Number";"
CALCULATE(
    AVERAGE(OPORTUNIDAD_TRIAGE[MIN]),
    YEAR(OPORTUNIDAD_TRIAGE[FECHA]) = 2025
    )";"";False;"Valid";;False;"";"";"";"""0.00""";"9101b496-d8e4-458a-b1e5-eff8fed4e01f"
746888;"PROMEDIO_TRIAGE_2023";"OPORTUNIDAD_TRIAGE";"";"Number";"
CALCULATE(
    AVERAGE(OPORTUNIDAD_TRIAGE[MIN]),
    YEAR(OPORTUNIDAD_TRIAGE[FECHA]) = 2023
    )";"";False;"Valid";;False;"";"";"";"""0.00""";"d8231967-8c18-4ed2-98e4-a27adc880171"
767484;"TRIAGES_2025";"OPORTUNIDAD_TRIAGE";"";"Integer";"
CALCULATE(
    COUNT(OPORTUNIDAD_TRIAGE[OID_TRIAGE]),
    YEAR(OPORTUNIDAD_TRIAGE[FECHA]) = 2025
    )
";"";False;"Valid";;False;"";"";"";"""0""";"9c60eec1-5f98-47c5-9def-cce6438eda12"
769131;"PROMEDIO_TRIAGE_2025";"OPORTUNIDAD_TRIAGE";"";"Number";"
CALCULATE(
    AVERAGE(OPORTUNIDAD_TRIAGE[MIN]),
    YEAR(OPORTUNIDAD_TRIAGE[FECHA]) = 2025
    )";"";False;"Valid";;False;"";"";"";"""0.00""";"7b129ca9-2b79-4db8-b509-998f844f7958"
884939;"TRIAGES_PEDIATRICOS_2025";"OPORTUNIDAD_TRIAGE";"";"Integer";"
CALCULATE(
    COUNT(OPORTUNIDAD_TRIAGE[OID_TRIAGE]),
    YEAR(OPORTUNIDAD_TRIAGE[FECHA]) = 2025,
    OPORTUNIDAD_TRIAGE[MENORES]=""MENORES DE EDAD""
    )
";"";False;"Valid";;False;"";"";"";"""0""";"25e5a038-53c6-4a0d-8714-2c1b6e16906b"
886034;"PROMEDIO_TRIAGES_PEDIATRICOS_2025";"OPORTUNIDAD_TRIAGE";"";"Number";"
CALCULATE(
    AVERAGE(OPORTUNIDAD_TRIAGE[TIEMPO_TRIAGE_PROM]),
    YEAR(OPORTUNIDAD_TRIAGE[FECHA]) = 2025,
    OPORTUNIDAD_TRIAGE[MENORES]=""MENORES DE EDAD""
    )
";"";False;"Valid";;False;"";"";"";"";"4c04c1d6-0750-43fa-9e8b-9dcd199b5ef4"
1014478;"Triages_Año_Anterior";"OPORTUNIDAD_TRIAGE";"";"Integer";"
CALCULATE (
    [TOTAL_TRIAGES],
    SAMEPERIODLASTYEAR ( Calendario[Date] )
)";"";False;"Valid";;False;"";"";"";"""0""";"7dc6732e-a824-473c-9eb4-2ff5f090b7ae"
1015082;"TOTAL_TRIAGES";"OPORTUNIDAD_TRIAGE";"";"Integer";"DISTINCTCOUNT(OPORTUNIDAD_TRIAGE[OID_TRIAGE])";"";False;"Valid";;False;"";"";"";"""0""";"4b6c28fd-bb30-415a-9d18-794c6bd03f02"
